"hanZi","unicode","gbk","pinYin","buShou","biHua","wuXing","fanTi","wuBi"
"一","0x4e00","d2bb","yī","一","1","土","一","GGLL"
"丁","0x4e01","b6a1","dīng zhēng","一","2","火","丁","SGH"
"丂","0x4e02","8140","kǎo qiǎo yú","一","2","null","丂","GNV"
"七","0x4e03","c6df","qī","一","2","金","七","AGN"
"丄","0x4e04","8141","shàng","一","2","null","丄","HGD"
"丅","0x4e05","8142","xià","一","2","null","丅","GHK"
"丆","0x4e06","8143","hǎn","一","2","null","丆","DGT"
"万","0x4e07","cdf2","wàn mò","一","3","水","萬","DNV"
"丈","0x4e08","d5c9","zhàng","一","3","火","丈","DYI"
"三","0x4e09","c8fd","sān","一","3","金","三","DGGG"
"上","0x4e0a","c9cf","shàng shǎng shang","⺊","3","金","上","HHGG"
"下","0x4e0b","cfc2","xià","一","3","水","下","GHI"
"丌","0x4e0c","d8a2","qí jī","一","3","木","丌","GJK"
"不","0x4e0d","b2bb","bù fǒu","一","4","水","不","GII"
"与","0x4e0e","d3eb","yǔ yù yú","一","3","土","與","GNGD"
"丏","0x4e0f","8144","miǎn","一","4","null","丏","GHNN"
"丐","0x4e10","d8a4","gài","一","4","木","丐","GHNV"
"丑","0x4e11","b3f3","chǒu","一、乛","4","土","醜","NFD"
"丒","0x4e12","8145","chǒu","一","4","null","丒","VYGF"
"专","0x4e13","d7a8","zhuān","一","4","金","專","FNYI"
"且","0x4e14","c7d2","qiě jū","一、丨","5","金","且","null"
"丕","0x4e15","d8a7","pī","一","5","水","丕","GIGF"
"世","0x4e16","cac0","shì","一","5","金","世","ANV"
"丗","0x4e17","8146","shì","一","5","null","丗","GKGD"
"丘","0x4e18","c7f0","qiū","丿","5","木","丘","RGD"
"丙","0x4e19","b1fb","bǐng","一","5","火","丙","GMWI"
"业","0x4e1a","d2b5","yè","业","5","木","業","OGD"
"丛","0x4e1b","b4d4","cóng","一","5","火","叢","WWGF"
"东","0x4e1c","b6ab","null","null",,"null","null","null"
"丝","0x4e1d","cbbf","sī","一","5","金","絲","XXGF"
"丞","0x4e1e","d8a9","chéng","一","6","金","丞","BIGF"
"丟","0x4e1f","8147","diū","一","6","null","丟","GCU"
"丠","0x4e20","8148","qiū","一","6","null","丠","UXGF"
"両","0x4e21","8149","liǎng","一","6","null","両","GMMK"
"丢","0x4e22","b6aa","diū","厶","6","金","丢","TFCU"
"丣","0x4e23","814a","yǒu","一","7","null","丣","GAJN"
"两","0x4e24","c1bd","liǎng","一","7","火","兩","GMWW"
"严","0x4e25","d1cf","yán","一","7","木","嚴","GODR"
"並","0x4e26","814b","bìng","丷","8","null","並","UOGF"
"丧","0x4e27","c9a5","sàng sāng","十","8","金","喪","FUEU"
"丨","0x4e28","d8ad","gǔn","丨","1","null","丨","HHLL"
"丩","0x4e29","814c","jiū","丨","2","null","丩","NHK"
"个","0x4e2a","b8f6","gè gě","人","3","土","個","WHJ"
"丫","0x4e2b","d1be","yā","丷","3","土","丫","UHK"
"丬","0x4e2c","e3dc","pán","丨","3","null","丬","UYGH"
"中","0x4e2d","d6d0","zhōng zhòng","丨","4","火","中","KHK"
"丮","0x4e2e","814d","jǐ","丨","4","null","丮","NFHK"
"丯","0x4e2f","814e","jiè","丨","4","null","丯","EHK"
"丰","0x4e30","b7e1","null","null",,"null","null","null"
"丱","0x4e31","814f","guàn kuàng","丨","5","null","丱","NJHG"
"串","0x4e32","b4ae","chuàn","丨","7","金","串","KKHK"
"丳","0x4e33","8150","chǎn","丨","8","null","丳","KKJK"
"临","0x4e34","c1d9","lín","丨","9","火","臨","JTYJ"
"丵","0x4e35","8151","zhuó","业","10","null","丵","OGUF"
"丶","0x4e36","d8bc","zhǔ","丶","1","null","丶","YYLL"
"丷","0x4e37","8152","bā","丶","2","null","丷","UYT"
"丸","0x4e38","cde8","wán","丿","3","土","丸","VYI"
"丹","0x4e39","b5a4","dān","丿","4","火","丹","MYD"
"为","0x4e3a","ceaa","wéi wèi","丶","4","土","爲","YLYI"
"主","0x4e3b","d6f7","zhǔ","亠","5","金","主","YGD"
"丼","0x4e3c","8153","jǐng dǎn","丶","5","null","丼","FJYI"
"丽","0x4e3d","c0f6","lì lí","一","7","火","麗","GMYY"
"举","0x4e3e","bed9","jǔ","丶","9","木","舉","IWFH"
"丿","0x4e3f","d8af","piě","丿","1","null","丿","TTLL"
"乀","0x4e40","8154","fú","丿","2","null","乀","YYLL"
"乁","0x4e41","8155","yí jí","丿","2","null","乁","YYLL"
"乂","0x4e42","8156","yì","丿","2","null","乂","QTY"
"乃","0x4e43","c4cb","nǎi","乛","2","火","乃","ETN"
"乄","0x4e44","8157","wǔ","丿","2","null","乄","NYI"
"久","0x4e45","bec3","jiǔ","丿","3","木","久","QYI"
"乆","0x4e46","8158","jiǔ","丿","3","null","乆","NWI"
"乇","0x4e47","d8b1","tuō zhé","丿","3","火","乇","TAV"
"么","0x4e48","c3b4","me mó yāo ma","丿","3","水","麽","TCU"
"义","0x4e49","d2e5","yì","丶","3","木","義","YQI"
"乊","0x4e4a","8159","yī","丿","3","null","乊","TUR"
"之","0x4e4b","d6ae","zhī","丶","3","火","之","PPPP"
"乌","0x4e4c","ceda","null","null",,"null","null","null"
"乍","0x4e4d","d5a7","zhà","丿","5","金","乍","THFD"
"乎","0x4e4e","baf5","hū","丿","5","水","乎","TUHK"
"乏","0x4e4f","b7a6","fá","丿","4","金","乏","TPI"
"乐","0x4e50","c0d6","null","null",,"null","null","null"
"乑","0x4e51","815a","yín","丿","6","null","乑","TII"
"乒","0x4e52","c6b9","pīng","丿","6","水","乒","RGTR"
"乓","0x4e53","c5d2","pāng","丿","6","火","乓","RGYU"
"乔","0x4e54","c7c7","qiáo","丿","6","木","喬","TDJJ"
"乕","0x4e55","815b","hǔ","丿","7","null","乕","RFMH"
"乖","0x4e56","b9d4","guāi","丿","8","木","乖","TFUX"
"乗","0x4e57","815c","chéng shèng","丿","9","null","乗","TGAS"
"乘","0x4e58","b3cb","chéng shèng","丿、禾","10","金","乘","TUXV"
"乙","0x4e59","d2d2","yǐ","乙","1","木","乙","NNLL"
"乚","0x4e5a","815d","háo yǐ","乚","1","null","乚","NNLL"
"乛","0x4e5b","815e","yǐ","乙","1","null","乛","NNLL"
"乜","0x4e5c","d8bf","niè miē","乙","2","水","乜","NNV"
"九","0x4e5d","bec5","jiǔ","丿","2","木","九","VTN"
"乞","0x4e5e","c6f2","qǐ","乙","3","木","乞","TNB"
"也","0x4e5f","d2b2","yě","乛","3","土","也","BNHN"
"习","0x4e60","cfb0","xí","乛","3","水","習","NUD"
"乡","0x4e61","cfe7","xiāng","乛","3","水","鄉","XTE"
"乢","0x4e62","815f","gài","乚","4","null","乢","MNN"
"乣","0x4e63","8160","jiǔ","乚","4","null","乣","XNN"
"乤","0x4e64","8161","xià","乙","4","null","乤","GHNB"
"乥","0x4e65","8162","hol","乙","4","null","乥","TUNB"
"书","0x4e66","cae9","null","null",,"null","null","null"
"乧","0x4e67","8163","dǒu","乙","5","null","乧","UFNB"
"乨","0x4e68","8164","shǐ","乚","6","null","乨","CKNN"
"乩","0x4e69","d8c0","jī","乙","6","木","乩","HKNN"
"乪","0x4e6a","8165","náng","乙","6","null","乪","NLD"
"乫","0x4e6b","8166","jiā","乙","6","null","乫","LKNB"
"乬","0x4e6c","8167","jù","乙","5","null","乬","ANNB"
"乭","0x4e6d","8168","shí","乙","6","null","乭","DNB"
"乮","0x4e6e","8169","mǎo","乙","6","null","乮","QTBN"
"乯","0x4e6f","816a","hū","乙","6","null","乯","null"
"买","0x4e70","c2f2","mǎi","乛","6","水","買","NUDU"
"乱","0x4e71","c2d2","luàn","舌","7","火","亂","TDNN"
"乲","0x4e72","816b","null","null",,"null","null","null"
"乳","0x4e73","c8e9","rǔ","爫、乚","8","火","乳","EBNN"
"乴","0x4e74","816c","xué","乙","8","null","乴","RRNB"
"乵","0x4e75","816d","yǎn","乚","8","null","乵","UNN"
"乶","0x4e76","816e","fǔ","乙","8","null","乶","GEHN"
"乷","0x4e77","816f","shā","乙","8","null","乷","null"
"乸","0x4e78","8170","nǎ","乙","8","null","乸","BXGU"
"乹","0x4e79","8171","qián","乚","9","null","乹","FJNN"
"乺","0x4e7a","8172","suǒ","乙","9","null","乺","RNRN"
"乻","0x4e7b","8173","yú","乙","9","null","乻","YWUN"
"乼","0x4e7c","8174","zhù","乙","9","null","乼","IYGN"
"乽","0x4e7d","8175","zhě","乙","9","null","乽","FTJN"
"乾","0x4e7e","c7ac","null","null",,"null","null","null"
"乿","0x4e7f","8176","zhì luàn","乚","11","null","乿","EXIN"
"亀","0x4e80","8177","guī","刀","11","null","亀","QJJN"
"亁","0x4e81","8178","qián","十","12","null","亁","FJFN"
"亂","0x4e82","8179","luàn","乚","13","null","null","ECMN"
"亃","0x4e83","817a","lǐn lìn","乚","13","null","亃","OQAN"
"亄","0x4e84","817b","yì","乚","13","null","亄","FPGN"
"亅","0x4e85","817c","jué","亅","1","null","亅","HHLL"
"了","0x4e86","c1cb","le liǎo","乛","2","火","瞭","BNH"
"亇","0x4e87","817d","gè mā","丿","3","null","亇","QHJ"
"予","0x4e88","d3e8","yǔ yú","乛","4","土","予","CBJ"
"争","0x4e89","d5f9","zhēng","⺈","6","火","争","QVHJ"
"亊","0x4e8a","817e","shì","亅","7","null","亊","GUVH"
"事","0x4e8b","cac2","shì","一","8","金","事","GKVH"
"二","0x4e8c","b6fe","null","null",,"null","null","null"
"亍","0x4e8d","d8a1","chù","二","3","金","亍","FHK"
"于","0x4e8e","d3da","yú","一","3","土","于","null"
"亏","0x4e8f","bff7","kuī","一","3","木","虧","FNV"
"亐","0x4e90","8180","yú","二","3","null","亐","FNV"
"云","0x4e91","d4c6","null","null",,"null","null","null"
"互","0x4e92","bba5","hù","一","4","水","互","GXGD"
"亓","0x4e93","d8c1","qí","二","4","木","亓","FJJ"
"五","0x4e94","cee5","wǔ","一","4","木","五","null"
"井","0x4e95","beae","null","null",,"null","null","null"
"亖","0x4e96","8181","sì","二","4","null","亖","FFF"
"亗","0x4e97","8182","suì","二","5","null","亗","MFF"
"亘","0x4e98","d8a8","gèn","一","6","火","亘","GJGF"
"亙","0x4e99","8183","gèn","二","6","null","亙","GHNG"
"亚","0x4e9a","d1c7","yà","一","6","土","亚","GOGD"
"些","0x4e9b","d0a9","xiē suò","止","8","金","些","HXFF"
"亜","0x4e9c","8184","null","null",,"null","null","null"
"亝","0x4e9d","8185","qí zhāi","厶","8","null","亝","CCCF"
"亞","0x4e9e","8186","yā yà","二","8","null","亞","GHGG"
"亟","0x4e9f","d8bd","jí qì","一","8","木","亟","BKCG"
"亠","0x4ea0","d9ef","tóu","亠","2","null","亠","YYG"
"亡","0x4ea1","cdf6","wáng wú","亠","3","水","亡","YNV"
"亢","0x4ea2","bfba","kàng háng gāng","亠","4","木","亢","YMB"
"亣","0x4ea3","8187","dà","亠","4","null","亣","YJJ"
"交","0x4ea4","bdbb","jiāo","亠","6","木","交","UQU"
"亥","0x4ea5","baa5","hài","亠","6","水","亥","YNTW"
"亦","0x4ea6","d2e0","yì","亠","6","土","亦","YOU"
"产","0x4ea7","b2fa","chǎn","立","6","金","產","UTE"
"亨","0x4ea8","bae0","null","null",,"null","null","null"
"亩","0x4ea9","c4b6","mǔ","亠","7","水","畝","YLF"
"亪","0x4eaa","8188","ye","亠","7","null","亪","YOYU"
"享","0x4eab","cfed","xiǎng","亠","8","水","享","YBF"
"京","0x4eac","bea9","jīng","亠","8","木","京","YIU"
"亭","0x4ead","cda4","tíng","亠","9","火","亭","YPSJ"
"亮","0x4eae","c1c1","liàng","亠","9","火","亮","YPMB"
"亯","0x4eaf","8189","xiǎng","亠","9","null","亯","YJF"
"亰","0x4eb0","818a","jīng","亠","9","null","亰","YJIU"
"亱","0x4eb1","818b","yè","亠","9","null","亱","YWJG"
"亲","0x4eb2","c7d7","qīn qìng","立","9","木","親","USU"
"亳","0x4eb3","d9f1","bó","亠","10","水","亳","YPTA"
"亴","0x4eb4","818c","yòu","亠","12","null","亴","YPFV"
"亵","0x4eb5","d9f4","xiè","亠","12","水","褻","YRVE"
"亶","0x4eb6","818d","dǎn dàn","亠","13","火","亶","YLKG"
"亷","0x4eb7","818e","lián","亠","13","null","亷","UTVO"
"亸","0x4eb8","818f","duǒ","亠","16","null","嚲","YBUF"
"亹","0x4eb9","8190","wěi mén","亠","22","null","亹","YWFG"
"人","0x4eba","c8cb","rén","人","2","金","人","WWWW"
"亻","0x4ebb","d8e9","rén","亻","2","null","亻","WTH"
"亼","0x4ebc","8191","jí","人","3","null","亼","WGF"
"亽","0x4ebd","8192","jí","人","3","null","亽","WYU"
"亾","0x4ebe","8193","wáng","人","3","null","亾","WNV"
"亿","0x4ebf","d2da","yì","亻","3","土","億","WNN"
"什","0x4ec0","cab2","shí shén","亻","4","金","什","WFH"
"仁","0x4ec1","c8ca","rén","亻","4","金","仁","WFG"
"仂","0x4ec2","d8ec","lè","亻","4","火","仂","WLN"
"仃","0x4ec3","d8ea","dīng","亻","4","火","仃","WSH"
"仄","0x4ec4","d8c6","zè","厂","4","金","仄","DWI"
"仅","0x4ec5","bdf6","jǐn jìn","亻","4","木","僅","WCY"
"仆","0x4ec6","c6cd","pú pū","亻","4","水","僕","WHY"
"仇","0x4ec7","b3f0","chóu qiú","亻","4","金","仇","WVN"
"仈","0x4ec8","8194","bā","亻","4","null","仈","WWY"
"仉","0x4ec9","d8eb","zhǎng","亻","4","火","仉","WMN"
"今","0x4eca","bdf1","jīn","人","4","木","今","WYNB"
"介","0x4ecb","bde9","jiè","人","4","木","介","WJJ"
"仌","0x4ecc","8195","bīng","人","4","null","仌","WWU"
"仍","0x4ecd","c8d4","réng","亻","4","金","仍","WEN"
"从","0x4ece","b4d3","cóng","人","4","火","從","WWY"
"仏","0x4ecf","8196","fó","亻","4","null","仏","WCY"
"仐","0x4ed0","8197","jīn sǎn","人","4","null","仐","WFJ"
"仑","0x4ed1","c2d8","lún","人","4","火","侖","WXB"
"仒","0x4ed2","8198","bīng","人","4","null","仒","WUU"
"仓","0x4ed3","b2d6","cāng","人","4","金","倉","WBB"
"仔","0x4ed4","d7d0","zǎi zǐ zī","亻","5","土","仔","WBG"
"仕","0x4ed5","cacb","shì","亻","5","金","仕","WFG"
"他","0x4ed6","cbfb","null","null",,"null","null","null"
"仗","0x4ed7","d5cc","zhàng","亻","5","火","仗","WDYY"
"付","0x4ed8","b8b6","fù","亻","5","水","付","WFY"
"仙","0x4ed9","cfc9","xiān","亻","5","金","仙","WMH"
"仚","0x4eda","8199","xiān","人","5","null","仚","WMJ"
"仛","0x4edb","819a","tuō chà duó","亻","5","null","仛","WTAN"
"仜","0x4edc","819b","hóng","亻","5","null","仜","WAG"
"仝","0x4edd","d9da","tóng","人","5","火","仝","null"
"仞","0x4ede","d8f0","rèn","亻","5","金","仞","WVYY"
"仟","0x4edf","c7aa","qiān","亻","5","金","仟","WTFH"
"仠","0x4ee0","819c","gǎn hàn","亻","5","null","仠","WFH"
"仡","0x4ee1","d8ee","yì gē","亻","5","木","仡","WTNN"
"仢","0x4ee2","819d","bó","亻","5","null","仢","WQYY"
"代","0x4ee3","b4fa","null","null",,"null","null","null"
"令","0x4ee4","c1ee","lìng líng lǐng","人","5","火","令","WYCU"
"以","0x4ee5","d2d4","yǐ","人","4","土","以","NYWY"
"仦","0x4ee6","819e","chào","亻","5","null","仦","WIY"
"仧","0x4ee7","819f","cháng zhǎng","人","5","null","仧","HWU"
"仨","0x4ee8","d8ed","sā","亻","5","水","仨","WDG"
"仩","0x4ee9","81a0","cháng","亻","5","null","仩","WHG"
"仪","0x4eea","d2c7","yí","亻","5","木","儀","WYQY"
"仫","0x4eeb","d8ef","mù","亻","5","水","仫","WTCY"
"们","0x4eec","c3c7","mén men","亻","5","水","們","WUN"
"仭","0x4eed","81a1","rèn","亻","5","null","仭","WVYY"
"仮","0x4eee","81a2","fǎn","亻","6","null","仮","WRCY"
"仯","0x4eef","81a3","chào miǎo","亻","6","null","仯","WITT"
"仰","0x4ef0","d1f6","yǎng áng","亻","6","木","仰","WQBH"
"仱","0x4ef1","81a4","qián","亻","6","null","仱","WWYN"
"仲","0x4ef2","d6d9","zhòng","亻","6","火","仲","WKHH"
"仳","0x4ef3","d8f2","pǐ pí","亻","6","水","仳","WXXN"
"仴","0x4ef4","81a5","wò","亻","6","null","仴","WEG"
"仵","0x4ef5","d8f5","wǔ","亻","6","土","仵","WTFH"
"件","0x4ef6","bcfe","jiàn","亻","6","木","件","WRHH"
"价","0x4ef7","bcdb","jià jie jiè","亻","6","木","價","WWJH"
"仸","0x4ef8","81a6","yǎo fó","亻","6","null","仸","WTDY"
"仹","0x4ef9","81a7","fēng","亻","6","null","仹","WDHH"
"仺","0x4efa","81a8","cāng","人","5","null","仺","WAGF"
"任","0x4efb","c8ce","rèn rén","亻","6","金","任","WTFG"
"仼","0x4efc","81a9","wáng","亻","6","null","仼","WGG"
"份","0x4efd","b7dd","fèn bīn","亻","6","水","份","WWVN"
"仾","0x4efe","81aa","dī","亻","6","null","仾","WGXG"
"仿","0x4eff","b7c2","fǎng","亻","6","水","仿","WYN"
"伀","0x4f00","81ab","zhōng","亻","6","null","伀","WWCY"
"企","0x4f01","c6f3","qǐ","人","6","木","企","WHF"
"伂","0x4f02","81ac","pèi","亻","6","null","伂","WGMH"
"伃","0x4f03","81ad","yú","亻","6","-","伃","WCBH"
"伄","0x4f04","81ae","diào","亻","6","null","伄","WXHH"
"伅","0x4f05","81af","dùn","亻","6","null","伅","WGBN"
"伆","0x4f06","81b0","wěn","亻","6","null","伆","null"
"伇","0x4f07","81b1","yì","亻","6","null","伇","WMCY"
"伈","0x4f08","81b2","xǐn","亻","6","null","伈","WNY"
"伉","0x4f09","d8f8","kàng","亻","6","木","伉","WYMN"
"伊","0x4f0a","d2c1","yī","亻","6","土","伊","WVTT"
"伋","0x4f0b","81b3","jí","亻","5","null","伋","WEYY"
"伌","0x4f0c","81b4","ài","亻","6","null","伌","WDBN"
"伍","0x4f0d","cee9","wǔ","亻","6","土","伍","WGG"
"伎","0x4f0e","bcbf","jì qí","亻","6","木","伎","WFCY"
"伏","0x4f0f","b7fc","fú","亻","6","水","伏","WDY"
"伐","0x4f10","b7a5","fá","亻","6","水","伐","WAT"
"休","0x4f11","d0dd","xiū xǔ","亻","6","水","休","WSY"
"伒","0x4f12","81b5","jìn yín","亻","6","null","伒","WRH"
"伓","0x4f13","81b6","pī","亻","6","null","伓","WGIY"
"伔","0x4f14","81b7","dǎn","亻","6","null","伔","WPMN"
"伕","0x4f15","81b8","fū","亻","6","null","伕","WFWY"
"伖","0x4f16","81b9","tǎng","亻","6","null","伖","WDCY"
"众","0x4f17","d6da","zhòng","人","6","金","衆","WWWU"
"优","0x4f18","d3c5","yōu","亻","6","土","優","WDNN"
"伙","0x4f19","bbef","huǒ","亻","6","火","夥","WOY"
"会","0x4f1a","bbe1","huì kuài","人","6","水","會","WFCU"
"伛","0x4f1b","d8f1","yǔ","亻","6","金","傴","WAQY"
"伜","0x4f1c","81ba","cuì","亻","6","null","伜","WVFH"
"伝","0x4f1d","81bb","yún","亻","6","null","伝","WFCY"
"伞","0x4f1e","c9a1","null","null",,"null","null","null"
"伟","0x4f1f","ceb0","wěi","亻","6","土","偉","WFNH"
"传","0x4f20","b4ab","chuán zhuàn","亻","6","火","傳","WFNY"
"伡","0x4f21","81bc","chē jū","亻","6","金","伡","WLH"
"伢","0x4f22","d8f3","yá","亻","6","土","伢","WAHT"
"伣","0x4f23","81bd","qiàn","亻","6","null","俔","WMQN"
"伤","0x4f24","c9cb","shāng","亻","6","金","傷","WTLN"
"伥","0x4f25","d8f6","chāng","亻","6","金","倀","WTAY"
"伦","0x4f26","c2d7","lún","亻","6","火","倫","WWXN"
"伧","0x4f27","d8f7","chen cāng","亻","6","金","傖","WWBN"
"伨","0x4f28","81be","xùn","亻","6","null","伨","WQUG"
"伩","0x4f29","81bf","xìn","亻","6","null","伩","WYY"
"伪","0x4f2a","ceb1","wěi","亻","6","木","僞","WYLY"
"伫","0x4f2b","d8f9","zhù","亻","6","金","伫","WPGG"
"伬","0x4f2c","81c0","chǐ","亻","6","null","伬","WNYY"
"伭","0x4f2d","81c1","xián xuán","亻","7","金","伭","WYXY"
"伮","0x4f2e","81c2","nú nǔ","亻","7","null","伮","WVCY"
"伯","0x4f2f","b2ae","bǎi bó","亻","7","水","伯","WRG"
"估","0x4f30","b9c0","gū gù","亻","7","木","估","WDG"
"伱","0x4f31","81c3","nǐ","亻","7","null","伱","WWIY"
"伲","0x4f32","d9a3","nì ní","亻","7","木","伲","WNXN"
"伳","0x4f33","81c4","xiè","亻","7","null","伳","WANN"
"伴","0x4f34","b0e9","bàn","亻","7","水","伴","WUFH"
"伵","0x4f35","81c5","xù","亻","7","null","伵","WLG"
"伶","0x4f36","c1e6","líng","亻","7","火","伶","WWYC"
"伷","0x4f37","81c6","zhòu","亻","7","null","伷","WMG"
"伸","0x4f38","c9ec","shēn","亻","7","金","伸","WJHH"
"伹","0x4f39","81c7","qū","亻","7","null","伹","WEGG"
"伺","0x4f3a","cbc5","sì cì","亻","7","金","伺","WNGK"
"伻","0x4f3b","81c8","bēng","亻","7","水","伻","WGUH"
"似","0x4f3c","cbc6","sì shì","亻","6","土","似","WNYW"
"伽","0x4f3d","d9a4","jiā qié gā","亻","7","木","伽","WLKG"
"伾","0x4f3e","81c9","pī","亻","7","水","伾","WGIG"
"伿","0x4f3f","81ca","yì","亻","7","null","伿","WKWY"
"佀","0x4f40","81cb","sì","亻","7","null","佀","WHNN"
"佁","0x4f41","81cc","yǐ chì","亻","7","火","佁","WCKG"
"佂","0x4f42","81cd","zhēng","亻","7","null","佂","WGHG"
"佃","0x4f43","b5e8","diàn tián","亻","7","火","佃","WLG"
"佄","0x4f44","81ce","hān gàn","亻","7","null","佄","WAFG"
"佅","0x4f45","81cf","mài","亻","7","null","佅","WFIY"
"但","0x4f46","b5ab","dàn","亻","7","火","但","WJGG"
"佇","0x4f47","81d0","zhù","亻","7","null","佇","WPSH"
"佈","0x4f48","81d1","bù","亻","7","null","佈","WDMH"
"佉","0x4f49","81d2","qū","亻","7","null","佉","WFCY"
"佊","0x4f4a","81d3","bǐ","亻","7","水","佊","WHCY"
"佋","0x4f4b","81d4","zhāo shào","亻","7","null","佋","WVKG"
"佌","0x4f4c","81d5","cǐ","亻","8","金","佌","WHXN"
"位","0x4f4d","cebb","wèi","亻","7","土","位","WUG"
"低","0x4f4e","b5cd","dī","亻","7","火","低","WQAY"
"住","0x4f4f","d7a1","zhù","亻","7","火","住","WYGG"
"佐","0x4f50","d7f4","zuǒ","亻","7","金","佐","WDAG"
"佑","0x4f51","d3d3","yòu","亻","7","土","佑","WDKG"
"佒","0x4f52","81d6","yǎng","亻","7","null","佒","WMDY"
"体","0x4f53","cce5","tǐ tī","亻","7","火","體","WSGG"
"佔","0x4f54","81d7","zhàn","亻","7","火","佔","WHKG"
"何","0x4f55","bace","hé hè hē","亻","7","木","何","WSKG"
"佖","0x4f56","81d8","bì","亻","7","null","佖","WNTT"
"佗","0x4f57","d9a2","tuó","亻","7","火","佗","WPXN"
"佘","0x4f58","d9dc","shé","人","7","金","佘","WFIU"
"余","0x4f59","d3e0","yú","人","7","土","餘","WTU"
"佚","0x4f5a","d8fd","yì dié","亻","7","土","佚","WRWY"
"佛","0x4f5b","b7f0","fó fú bì bó","亻","7","水","佛","WXJH"
"作","0x4f5c","d7f7","zuò zuō","亻","7","金","作","WTHF"
"佝","0x4f5d","d8fe","gōu","亻","7","水","佝","WQKG"
"佞","0x4f5e","d8fa","nìng","亻","7","火","佞","WFVG"
"佟","0x4f5f","d9a1","tóng","亻","7","火","佟","WTUY"
"你","0x4f60","c4e3","null","null",,"null","null","null"
"佡","0x4f61","81d9","xiān","亻","7","null","佡","WWMH"
"佢","0x4f62","81da","qú","亻","6","null","佢","WANG"
"佣","0x4f63","d3b6","yōng yòng","亻","7","土","傭","WEH"
"佤","0x4f64","d8f4","wǎ","亻","6","火","佤","WGNN"
"佥","0x4f65","d9dd","qiān","人","7","木","僉","WGIF"
"佦","0x4f66","81db","yòu","亻","7","null","佦","WDG"
"佧","0x4f67","d8fb","kǎ","亻","7","木","佧","WHHY"
"佨","0x4f68","81dc","bāo","亻","7","null","佨","WQNN"
"佩","0x4f69","c5e5","pèi","亻","8","水","佩","WMGH"
"佪","0x4f6a","81dd","huái huí","亻","8","null","佪","WLKG"
"佫","0x4f6b","81de","gé hè","亻","8","水","佫","WTKG"
"佬","0x4f6c","c0d0","lǎo","亻","8","火","佬","WFTX"
"佭","0x4f6d","81df","xiáng","亻","8","null","佭","WTAH"
"佮","0x4f6e","81e0","gé","亻","8","null","佮","WWGK"
"佯","0x4f6f","d1f0","yáng","亻","8","火","佯","WUDH"
"佰","0x4f70","b0db","bǎi","亻","8","火","佰","WDJG"
"佱","0x4f71","81e1","fǎ","亻","8","null","佱","WFHF"
"佲","0x4f72","81e2","mǐng","亻","8","null","佲","WQKG"
"佳","0x4f73","bcd1","jiā","亻","8","木","佳","WFFG"
"佴","0x4f74","d9a6","èr nài","亻","8","火","佴","WBG"
"併","0x4f75","81e3","bìng","亻","8","null","併","WUAH"
"佶","0x4f76","d9a5","jí","亻","8","木","佶","WFKG"
"佷","0x4f77","81e4","hěn","亻","8","null","佷","WVEY"
"佸","0x4f78","81e5","huó","亻","8","null","佸","WTDG"
"佹","0x4f79","81e6","guǐ","亻","8","null","佹","WQDB"
"佺","0x4f7a","81e7","quán","亻","8","null","佺","WWGG"
"佻","0x4f7b","d9ac","tiāo","亻","8","火","佻","WIQN"
"佼","0x4f7c","d9ae","jiǎo","亻","8","木","佼","WUQY"
"佽","0x4f7d","81e8","cì","亻","8","火","佽","WUQW"
"佾","0x4f7e","d9ab","yì","亻","8","土","佾","WWEG"
"使","0x4f7f","cab9","shǐ","亻","8","金","使","WGKQ"
"侀","0x4f80","81e9","xíng","亻","8","null","侀","WGAJ"
"侁","0x4f81","81ea","shēn","亻","8","金","侁","WTFQ"
"侂","0x4f82","81eb","tuō","亻","8","null","侂","WYTA"
"侃","0x4f83","d9a9","kǎn","亻","8","金","侃","WKQN"
"侄","0x4f84","d6b6","zhí","亻","8","金","侄","WGCF"
"侅","0x4f85","81ec","gāi","亻","8","水","侅","WYNW"
"來","0x4f86","81ed","lái","亻","8","null","null","SWWI"
"侇","0x4f87","81ee","yí","亻","8","null","侇","WGXW"
"侈","0x4f88","b3de","chǐ","亻","8","火","侈","WQQY"
"侉","0x4f89","d9a8","kuǎ","亻","8","木","侉","WDFN"
"侊","0x4f8a","81ef","gōng","亻","8","null","侊","WIQN"
"例","0x4f8b","c0fd","lì","亻","8","火","例","WGQJ"
"侌","0x4f8c","81f0","yīn","人","8","null","侌","WYNC"
"侍","0x4f8d","cacc","shì","亻","8","火","侍","WFFY"
"侎","0x4f8e","81f1","mǐ","亻","8","null","侎","WOY"
"侏","0x4f8f","d9aa","zhū","亻","8","金","侏","WRIY"
"侐","0x4f90","81f2","xù","亻","8","null","侐","WTLG"
"侑","0x4f91","d9a7","yòu","亻","8","土","侑","WDEG"
"侒","0x4f92","81f3","ān","亻","8","null","侒","WPVG"
"侓","0x4f93","81f4","lù","亻","8","null","侓","WVFH"
"侔","0x4f94","d9b0","móu","亻","8","水","侔","WCRH"
"侕","0x4f95","81f5","ér","亻","8","null","侕","WDMJ"
"侖","0x4f96","81f6","lún","人","8","null","null","null"
"侗","0x4f97","b6b1","dòng tǒng tóng","亻","8","火","侗","WMGK"
"侘","0x4f98","81f7","chà","亻","8","金","侘","WPTA"
"侙","0x4f99","81f8","chì","亻","8","null","侙","WAAG"
